t,R,D_eff,M_tau,R_ok,D_ok,M_ok,Pi_window,Access_all,dataset,subject,condition,filename,band,run,eyes
28.572,0.17275383571643166,86.39692543134684,0.0024242574770605052,False,False,False,0.0,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
30.076,0.250176336039227,86.83277014791048,0.005662146254313354,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
31.58,0.3082899339556504,87.01704702663427,0.006488801977867967,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
33.084,0.3098661732901352,87.01575621076317,0.007144352595556938,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
34.588,0.2934097813166112,86.91698387411101,0.007484246625374103,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
36.092,0.19407931561285138,86.50900121289881,0.004289423610799755,False,True,True,0.6666666666666666,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
37.596,0.17378691614048575,86.2991129305532,0.003697312077619851,False,False,True,0.3333333333333333,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
39.1,0.22319923340500955,86.61795473094895,0.006473463712152302,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
40.604,0.19769627064920423,86.46628958567776,0.0055654075980147485,False,False,True,0.3333333333333333,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
42.108,0.202206627635266,86.64483100376711,0.004207584511706363,False,True,True,0.6666666666666666,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
43.612,0.27615119107540553,86.76339038399439,0.004379184760003222,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
45.116,0.25000999847682004,86.76724212250883,0.003984591854894758,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
46.62,0.266500814921594,86.70364851745634,0.007829471451769177,True,True,False,0.6666666666666666,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
48.124,0.2975566696325163,86.8353503424047,0.00616915656614174,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
49.628,0.24894914791646555,86.80884737813373,0.004089665145428998,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
51.132,0.24586564902407504,86.78685521613785,0.003731895002263529,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
52.636,0.23248795355829485,86.4932423808597,0.004167566315748167,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
54.14,0.22124975932961732,86.42933221598952,0.0040473944710745806,False,False,True,0.3333333333333333,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
55.644,0.33158364914203536,86.95857437626513,0.0034250437834974826,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
57.148,0.23411111086609726,86.62141325036235,0.0032536999571606304,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
58.652,0.2257045871211315,86.60694207512198,0.002254093597793857,True,True,False,0.6666666666666666,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
60.156,0.26541045506096983,86.7945407023715,0.0030633046440987385,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
61.66,0.19663409408518429,86.58947372134284,0.003487756544734436,False,True,True,0.6666666666666666,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
63.164,0.23812273999035816,86.56351969557205,0.006920791649781714,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
64.668,0.19206928719709013,86.36675084229792,0.01017378481108994,False,False,False,0.0,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
66.172,0.27648859486119776,86.66186330787285,0.008396923439287725,True,True,False,0.6666666666666666,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
67.676,0.2447628285581733,86.49673175694292,0.0031812581682672215,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
69.18,0.268913646679245,86.73868532389572,0.004050754372686602,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
70.684,0.2653417695338712,86.67917853102213,0.003595472839516385,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
72.188,0.2294509085870356,86.63239465941243,0.002922246844764012,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
73.692,0.2894005028192355,86.81518211510189,0.0029641751028275376,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
75.196,0.30658623502778953,86.97854660346401,0.0019168308427369408,True,True,False,0.6666666666666666,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
76.7,0.24083411215039177,86.39846764544387,0.0022241451428205864,True,False,False,0.3333333333333333,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
78.204,0.22480914856909795,86.68515699446026,0.007033080875991548,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
79.708,0.4055252345818976,86.99845452274221,0.007434471321745736,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
81.212,0.29477240195695126,86.80835288405952,0.006238634085439358,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
82.716,0.2548549927939442,86.69437900811994,0.0075710047331879185,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
84.22,0.3218640545640159,86.77690053811408,0.004919550249698588,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
85.724,0.3601625480420175,86.94101433138324,0.003785512768860945,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
87.228,0.2747931558099299,86.78834154256002,0.00549555611215119,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
1.5,0.27718672332422845,86.74940562335091,0.0028820864253786345,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
3.004,0.28031007469882885,86.70313867973195,0.00213917963888773,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
4.508,0.3533573527307216,86.66741759315681,0.002839102102929662,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
6.012,0.39853015083972043,87.01697845633255,0.0014999416456089752,True,True,False,0.6666666666666666,0,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
7.516,0.386916026249494,86.90072776557439,0.005992199270160114,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
9.02,0.49243595243184646,87.15235771619302,0.004217115060393387,True,False,True,0.6666666666666666,0,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
10.524,0.28308414271757526,86.70139374608605,0.0068647695322383755,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
12.028,0.18492218375971128,86.30550467636742,0.007700581179633446,False,False,True,0.3333333333333333,0,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
13.532,0.24182332805284393,86.64633094723843,0.0026273722153392024,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
15.036,0.26821205525839475,86.72293569070358,0.001966255167285905,True,True,False,0.6666666666666666,0,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
16.54,0.32193598835032533,86.78366675878551,0.0031145231097399594,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
18.044,0.47276951619148955,87.07167906223263,0.005356759354217216,True,False,True,0.6666666666666666,0,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
19.548,0.47428314340514305,87.02435626122994,0.0072364905844785644,True,False,True,0.6666666666666666,0,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
21.052,0.2792991793939182,86.47731857042619,0.007983811792758163,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
22.556,0.3409683669813424,86.5822440004716,0.004363271105889969,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
24.06,0.4101367365840102,87.03610379805917,0.0038127625533409654,True,False,True,0.6666666666666666,0,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
25.564,0.27046727897802897,86.83382302131615,0.004042527118239819,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
27.068,0.2433201623819186,86.67224734209414,0.005635839947989801,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
28.572,0.2932504709400152,86.85046403526854,0.0051594938021747834,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
30.076,0.26966569437485427,86.83808860143365,0.0046654731523943565,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
