dataset,subject,condition,band,R_mean,D_mean,M_mean,Pi,Access_all,n_windows,theta_power,alpha_power,beta_power,gamma_power,alpha_gamma_ratio,spectral_entropy,aperiodic_slope
Chennu,26,baseline,gamma,0.1610658353035893,86.4077917031018,0.0017563277001056844,0.8275862068965517,0.5689655172413793,58.0,0.20697708984434157,0.38962152079893553,0.19740336961789437,0.013170056459036773,29.583891457200906,0.8384740470454264,-2.2065239405782227
Chennu,26,moderate,alpha,0.24270619185488124,86.68114348151893,0.0052195039842570816,0.8620689655172413,0.7068965517241379,58.0,0.18876598628035318,0.3320157319984583,0.24837909494553637,0.010525998747340299,31.54244456382909,0.8527715413490349,-2.3407593661263624
Chennu,26,moderate,gamma,0.1610026603719192,86.33462945964348,0.0013090347507958898,0.82183908045977,0.5517241379310345,58.0,0.18876598628035318,0.3320157319984583,0.24837909494553637,0.010525998747340299,31.54244456382909,0.8527715413490349,-2.3407593661263624
Chennu,27,baseline,alpha,0.3226333286332802,86.83078200258932,0.005286328870810387,0.8275862068965516,0.5517241379310345,58.0,0.23936468599792296,0.3641361470962857,0.0720561979406333,0.006009368935036998,60.59473980913923,0.7594751837469643,-2.6053996710173184
Chennu,27,baseline,gamma,0.16438323568629967,86.38814938973748,0.001729843022952538,0.8275862068965516,0.5689655172413793,58.0,0.23936468599792296,0.3641361470962857,0.0720561979406333,0.006009368935036998,60.59473980913923,0.7594751837469643,-2.6053996710173184
Chennu,27,moderate,alpha,0.23188483049004358,86.6167754305931,0.0033568716071604673,0.5804597701149425,0.25862068965517243,58.0,0.3703208625918357,0.19452635121623632,0.2054213514854502,0.013427492855142494,14.487168475926536,0.8096774887040595,-2.1515451074559793
Chennu,27,moderate,gamma,0.16858722631332562,86.38294397072963,0.0015569476456719332,0.7816091954022988,0.4482758620689655,58.0,0.3703208625918357,0.19452635121623632,0.2054213514854502,0.013427492855142494,14.487168475926536,0.8096774887040595,-2.1515451074559793
Chennu,28,baseline,alpha,0.299426222487999,86.75582294235822,0.004942409234741189,0.8275862068965517,0.5862068965517241,58.0,0.11256142063164519,0.4396419208369467,0.14883111406563904,0.020459428213461563,21.488475446551814,0.7920060224998748,-1.9177824845238804
Chennu,28,baseline,gamma,0.16330925360707163,86.4007967542369,0.002293977991624763,0.8275862068965517,0.5862068965517241,58.0,0.11256142063164519,0.4396419208369467,0.14883111406563904,0.020459428213461563,21.488475446551814,0.7920060224998748,-1.9177824845238804
Chennu,28,moderate,alpha,0.34955217379662823,86.85339257074364,0.00568332767637969,0.8448275862068966,0.5862068965517241,58.0,0.1317311104424643,0.4125044566865664,0.2145472943340403,0.021652139508854515,19.05144092106111,0.8041200687836417,-1.8020482499401849
Chennu,28,moderate,gamma,0.1565072529294268,86.39021268260893,0.0017006256704608083,0.7701149425287357,0.4827586206896552,58.0,0.1317311104424643,0.4125044566865664,0.2145472943340403,0.021652139508854515,19.05144092106111,0.8041200687836417,-1.8020482499401849
Chennu,29,baseline,alpha,0.293992361541217,86.73986649998227,0.0032635810712997467,0.8275862068965517,0.603448275862069,58.0,0.11214297405405045,0.47965997793311427,0.15784267867083138,0.01568345019108146,30.583830219660058,0.8111299761741172,-2.0627175541508365
Chennu,29,baseline,gamma,0.1618083453875238,86.40114175200739,0.0013473960276661314,0.8275862068965516,0.5344827586206896,58.0,0.11214297405405045,0.47965997793311427,0.15784267867083138,0.01568345019108146,30.583830219660058,0.8111299761741172,-2.0627175541508365
Chennu,29,moderate,alpha,0.2979294931556645,86.72043209497524,0.003447693304804307,0.8275862068965516,0.5689655172413793,58.0,0.09129487762294441,0.36596134569518474,0.27374350001951836,0.012868575797671854,28.438372001737367,0.8458149425724243,-2.137156540317884
Chennu,29,moderate,gamma,0.16633153385617122,86.40834525994694,0.0018975987769407681,0.7528735632183907,0.3793103448275862,58.0,0.09129487762294441,0.36596134569518474,0.27374350001951836,0.012868575797671854,28.438372001737367,0.8458149425724243,-2.137156540317884
Chennu,3,baseline,alpha,0.29302407396734875,86.69555301975551,0.004641967490691703,0.8275862068965516,0.603448275862069,58.0,0.19458622219524535,0.34422932150460733,0.1507776701861652,0.027512553404759152,12.511718430051296,0.8205390945716665,-1.7937393686760172
Chennu,3,baseline,gamma,0.1571573996215803,86.3556192243523,0.0011637680971035077,0.8275862068965517,0.5862068965517241,58.0,0.19458622219524535,0.34422932150460733,0.1507776701861652,0.027512553404759152,12.511718430051296,0.8205390945716665,-1.7937393686760172
Chennu,3,moderate,alpha,0.23140819103889193,86.54323119114765,0.002435128832852504,0.5862068965517241,0.39655172413793105,58.0,0.1462714060681711,0.1531924449448352,0.21817962848632075,0.008048179849802552,19.034421171584412,0.7844076033762144,-2.4517733484947657
Chennu,3,moderate,gamma,0.16006231688790273,86.2832450512878,0.0010560381641433714,0.7701149425287356,0.4482758620689655,58.0,0.1462714060681711,0.1531924449448352,0.21817962848632075,0.008048179849802552,19.034421171584412,0.7844076033762144,-2.4517733484947657
Chennu,5,baseline,alpha,0.30675848766934705,86.8366115465108,0.006498975754473916,0.8275862068965517,0.6206896551724138,58.0,0.10744180565466184,0.4308076960181796,0.3150463566726843,0.022428328185482793,19.208194763166553,0.8534244165565619,-1.7368145648910556
Chennu,5,baseline,gamma,0.16828949386554157,86.4392531795898,0.001593178111476472,0.8275862068965517,0.603448275862069,58.0,0.10744180565466184,0.4308076960181796,0.3150463566726843,0.022428328185482793,19.208194763166553,0.8534244165565619,-1.7368145648910556
