subject,task,condition,acq,run,filename,channel_set,n_channels,gamma_rel_power,hf_rel_power
1033,sed,sed,rest,2,sub-1033_task-sed_acq-rest_run-2_eeg.vhdr,frontotemporal,30,0.010750482999435249,0.013772512906566376
1033,sed,sed,rest,3,sub-1033_task-sed_acq-rest_run-3_eeg.vhdr,all_eeg,62,0.006267627278269438,0.0029576082860268316
1033,sed,sed,rest,3,sub-1033_task-sed_acq-rest_run-3_eeg.vhdr,posterior,18,0.006315591350076857,0.002884942479115887
1033,sed,sed,rest,3,sub-1033_task-sed_acq-rest_run-3_eeg.vhdr,centro_posterior,32,0.006685629740675671,0.003366902130800641
1033,sed,sed,rest,3,sub-1033_task-sed_acq-rest_run-3_eeg.vhdr,frontotemporal,30,0.00597073337320738,0.002666899836145347
1036,awake,awake,EC,0,sub-1036_task-awake_acq-EC_eeg.vhdr,all_eeg,62,0.01435304711148715,0.013376406472695236
1036,awake,awake,EC,0,sub-1036_task-awake_acq-EC_eeg.vhdr,posterior,18,0.010591172805735013,0.004921029544638347
1036,awake,awake,EC,0,sub-1036_task-awake_acq-EC_eeg.vhdr,centro_posterior,32,0.012108961406039391,0.008610113660596282
1036,awake,awake,EC,0,sub-1036_task-awake_acq-EC_eeg.vhdr,frontotemporal,30,0.01706905643486039,0.019145034508675125
1036,sed2,sed2,rest,1,sub-1036_task-sed2_acq-rest_run-1_eeg.vhdr,all_eeg,62,0.004194349751309477,0.0038765728185654815
1036,sed2,sed2,rest,1,sub-1036_task-sed2_acq-rest_run-1_eeg.vhdr,posterior,18,0.0037610372567122474,0.0010206207620443253
1036,sed2,sed2,rest,1,sub-1036_task-sed2_acq-rest_run-1_eeg.vhdr,centro_posterior,32,0.005456348696727675,0.005978299560762183
1036,sed2,sed2,rest,1,sub-1036_task-sed2_acq-rest_run-1_eeg.vhdr,frontotemporal,30,0.003371036150775227,0.0025054304592636895
1036,sed,sed,rest,1,sub-1036_task-sed_acq-rest_run-1_eeg.vhdr,all_eeg,62,0.004374111836615896,0.0015750255004748832
1036,sed,sed,rest,1,sub-1036_task-sed_acq-rest_run-1_eeg.vhdr,posterior,18,0.0045298997968032,0.0009679415021979823
1036,sed,sed,rest,1,sub-1036_task-sed_acq-rest_run-1_eeg.vhdr,centro_posterior,32,0.005016818080479045,0.0018830250487272514
1036,sed,sed,rest,1,sub-1036_task-sed_acq-rest_run-1_eeg.vhdr,frontotemporal,30,0.0037093398657048137,0.001256451550577103
1036,sed,sed,rest,2,sub-1036_task-sed_acq-rest_run-2_eeg.vhdr,all_eeg,62,0.004576876489310272,0.0014831777543364913
1036,sed,sed,rest,2,sub-1036_task-sed_acq-rest_run-2_eeg.vhdr,posterior,18,0.0050553286432962145,0.001128622574108105
1036,sed,sed,rest,2,sub-1036_task-sed_acq-rest_run-2_eeg.vhdr,centro_posterior,32,0.005265088157982454,0.001664593319650397
1036,sed,sed,rest,2,sub-1036_task-sed_acq-rest_run-2_eeg.vhdr,frontotemporal,30,0.00395824601641999,0.0013201040924552114
1037,awake,awake,EC,0,sub-1037_task-awake_acq-EC_eeg.vhdr,all_eeg,62,0.01911238711158187,0.01534518809395558
1037,awake,awake,EC,0,sub-1037_task-awake_acq-EC_eeg.vhdr,posterior,18,0.01764085645350093,0.013965461409752805
1037,awake,awake,EC,0,sub-1037_task-awake_acq-EC_eeg.vhdr,centro_posterior,32,0.01805889895209152,0.013889962840894887
1037,awake,awake,EC,0,sub-1037_task-awake_acq-EC_eeg.vhdr,frontotemporal,30,0.022592335544296197,0.020152179793876276
1045,awake,awake,EC,0,sub-1045_task-awake_acq-EC_eeg.vhdr,all_eeg,62,0.014622044126986365,0.03760065003345491
1045,awake,awake,EC,0,sub-1045_task-awake_acq-EC_eeg.vhdr,posterior,18,0.004782522335774122,0.007365009721386947
1045,awake,awake,EC,0,sub-1045_task-awake_acq-EC_eeg.vhdr,centro_posterior,32,0.007865654453531377,0.014038403043485739
1045,awake,awake,EC,0,sub-1045_task-awake_acq-EC_eeg.vhdr,frontotemporal,30,0.019790721369264037,0.05562590548496624
1045,sed2,sed2,rest,1,sub-1045_task-sed2_acq-rest_run-1_eeg.vhdr,all_eeg,62,0.03193318591676376,0.1495718475740618
1045,sed2,sed2,rest,1,sub-1045_task-sed2_acq-rest_run-1_eeg.vhdr,posterior,18,0.015139984445854208,0.04789267752362098
1045,sed2,sed2,rest,1,sub-1045_task-sed2_acq-rest_run-1_eeg.vhdr,centro_posterior,32,0.023284592117664742,0.09371483303683753
