channel_set,comparison,metric,n,awake_mean,target_mean,mean_diff_awake_minus_target,paired_d,p,auc_awake_vs_target
frontotemporal,awake_vs_sed2,M_tau,20,0.02397773880291127,0.02495626509433606,-0.0009785262914247918,-0.14061294820115572,0.5369412752390313,0.375
frontotemporal,awake_vs_sed2,gamma_rel_power,20,0.02632233951932985,0.0066125553130385265,0.01970978420629133,1.088277442622311,0.00010708937778345375,0.9175
frontotemporal,awake_vs_sed2,hf_rel_power,20,0.05325475607521407,0.01691528183760689,0.03633947423760718,0.8239714316884603,0.0015729150197110085,0.8025
posterior,awake_vs_sed,Pi,20,0.6624472573839664,0.45222723716085855,0.21022002022310765,1.2743699563696351,1.7100446250879936e-05,1.0
posterior,awake_vs_sed,Access_all,20,0.29451476793248943,0.08044688493901213,0.21406788299347737,2.931280397460304,5.741002636198872e-11,1.0
posterior,awake_vs_sed,R,20,0.5956043763254526,0.5863804918241919,0.00922388450126051,0.0789612217392342,0.7278820612913748,0.4575
posterior,awake_vs_sed,D_eff,20,2.3690310891706283,2.735578695999997,-0.3665476068293682,-0.3322039374694564,0.15377313897600597,0.3975000000000001
posterior,awake_vs_sed,M_tau,20,0.04826387578039842,0.04325503454164637,0.005008841238752051,0.4281605333838357,0.07069820983204637,0.63
posterior,awake_vs_sed,gamma_rel_power,20,0.01482651077224692,0.006443594053019699,0.00838291671922722,0.7680248822885599,0.002777465163851037,0.7649999999999999
posterior,awake_vs_sed,hf_rel_power,20,0.02017010560535296,0.022784711022837408,-0.0026146054174844514,-0.09066211927851425,0.6896735529080412,0.53
posterior,awake_vs_sed2,Pi,20,0.6624472573839664,0.4428026996909463,0.21964455769301994,1.3444593889640832,8.742245933958042e-06,1.0
posterior,awake_vs_sed2,Access_all,20,0.29451476793248943,0.07614371819574131,0.2183710497367481,2.9761710749411794,4.418880159941198e-11,0.9974999999999999
posterior,awake_vs_sed2,R,20,0.5956043763254526,0.5813731441372516,0.014231232188200927,0.12603993019277626,0.5795730399010836,0.48250000000000004
posterior,awake_vs_sed2,D_eff,20,2.3690310891706283,2.6645174838404277,-0.2954863946697991,-0.49714697770082256,0.038523743540640795,0.3025
posterior,awake_vs_sed2,M_tau,20,0.04826387578039842,0.04246565956860827,0.0057982162117901515,0.48208104895844145,0.04411819770298581,0.6724999999999999
posterior,awake_vs_sed2,gamma_rel_power,20,0.01482651077224692,0.004948688228867956,0.009877822543378963,0.9683804704147962,0.00036025964193472037,0.83
posterior,awake_vs_sed2,hf_rel_power,20,0.02017010560535296,0.02233300533807758,-0.0021628997327246243,-0.07091467393746223,0.7545958103158488,0.55
