dataset,subject,condition,band,filename,run,source,metric,first,second,eyes,recording
Chennu,8,recovery,alpha,08-2010-anest 20100301 095.028.set,,phase_only,R,0.16618246603454315,0.16881551783968907,,
Chennu,8,recovery,alpha,08-2010-anest 20100301 095.028.set,,phase_only,D_eff,7.242129115015704,6.899136202298861,,
Chennu,8,recovery,alpha,08-2010-anest 20100301 095.028.set,,phase_only,M_tau,0.0037467848593704268,0.003569974015587552,,
Chennu,9,baseline,alpha,09-2010-anest 20100301 135.003.set,,phase_only,Pi,0.8620689655172413,0.7931034482758621,,
Chennu,9,baseline,alpha,09-2010-anest 20100301 135.003.set,,phase_only,R,0.3052000593998305,0.28306572034763533,,
Chennu,9,baseline,alpha,09-2010-anest 20100301 135.003.set,,phase_only,D_eff,3.718981639629804,4.7091985472407165,,
Chennu,9,baseline,alpha,09-2010-anest 20100301 135.003.set,,phase_only,M_tau,0.002280846949935424,0.004428565880028001,,
Chennu,9,mild,alpha,09-2010-anest 20100301 135.008.set,,phase_only,Pi,0.839080459770115,0.8505747126436781,,
Chennu,9,mild,alpha,09-2010-anest 20100301 135.008.set,,phase_only,R,0.3121393000142554,0.2977573982712081,,
Chennu,9,mild,alpha,09-2010-anest 20100301 135.008.set,,phase_only,D_eff,3.7522377041654376,4.6545081644864394,,
Chennu,9,mild,alpha,09-2010-anest 20100301 135.008.set,,phase_only,M_tau,0.0033143328284834005,0.004848555480352917,,
Chennu,9,moderate,alpha,09-2010-anest 20100301 135.021.set,,phase_only,Pi,0.47126436781609193,0.36781609195402293,,
Chennu,9,moderate,alpha,09-2010-anest 20100301 135.021.set,,phase_only,R,0.24147641971143494,0.22577446386114006,,
Chennu,9,moderate,alpha,09-2010-anest 20100301 135.021.set,,phase_only,D_eff,5.676334637445897,6.537516842078188,,
Chennu,9,moderate,alpha,09-2010-anest 20100301 135.021.set,,phase_only,M_tau,0.004491669060205958,0.005347335992167338,,
Chennu,9,recovery,alpha,09-2010-anest 20100301 135.026.set,,phase_only,Pi,0.8735632183908045,0.8390804597701149,,
Chennu,9,recovery,alpha,09-2010-anest 20100301 135.026.set,,phase_only,R,0.2814053423849259,0.28609724072400533,,
Chennu,9,recovery,alpha,09-2010-anest 20100301 135.026.set,,phase_only,D_eff,4.237203428537686,4.586759730562037,,
Chennu,9,recovery,alpha,09-2010-anest 20100301 135.026.set,,phase_only,M_tau,0.003631223047775379,0.0037579344281824033,,
Chennu,10,baseline,alpha,10-2010-anest 20100305 130.005.set,,phase_only,Pi,0.7931034482758622,0.8620689655172413,,
Chennu,10,baseline,alpha,10-2010-anest 20100305 130.005.set,,phase_only,R,0.11366031634558957,0.09526286532869813,,
Chennu,10,baseline,alpha,10-2010-anest 20100305 130.005.set,,phase_only,D_eff,9.59895165967998,9.784123216607757,,
Chennu,10,baseline,alpha,10-2010-anest 20100305 130.005.set,,phase_only,M_tau,0.0025635661476798447,0.002395362156583734,,
Chennu,10,mild,alpha,10-2010-anest 20100305 130.010.set,,phase_only,Pi,0.7356321839080461,0.5172413793103448,,
Chennu,10,mild,alpha,10-2010-anest 20100305 130.010.set,,phase_only,R,0.09041278036441383,0.08265084498985512,,
Chennu,10,mild,alpha,10-2010-anest 20100305 130.010.set,,phase_only,D_eff,8.397122581316001,7.637143326044668,,
