source,dataset,band,condition,subject,metric,run1,run2
phase_only,DS005620,gamma,sed,1060,M_tau,0.0028569953733116,0.0024009056904561
phase_only,DS005620,gamma,sed,1061,M_tau,0.0027077235140643,0.0020322021575685
phase_only,DS005620,gamma,sed,1062,M_tau,0.0023756745116484,0.0037971259850353
phase_only,DS005620,gamma,sed,1064,M_tau,0.0021209971232769,0.002156464511992
phase_only,DS005620,gamma,sed,1067,M_tau,0.0086185477555789,0.0054246949928225
phase_only,DS005620,gamma,sed,1068,M_tau,0.0035191032957106,0.0449772835363723
phase_only,DS005620,gamma,sed,1071,M_tau,0.0026427012574096,0.005042529172762
phase_only,DS005620,gamma,sed,1074,M_tau,0.0018650694123095,0.0024994499196661
phase_only,DS005620,gamma,sed2,1010,Pi,0.2368421052631578,0.3333333333333334
phase_only,DS005620,gamma,sed2,1016,Pi,0.3421052631578947,0.2719298245614036
phase_only,DS005620,gamma,sed2,1017,Pi,0.5614035087719299,0.5526315789473685
phase_only,DS005620,gamma,sed2,1022,Pi,0.4999999999999999,0.5789473684210525
phase_only,DS005620,gamma,sed2,1024,Pi,0.7017543859649124,0.7105263157894737
phase_only,DS005620,gamma,sed2,1033,Pi,0.2894736842105264,0.3070175438596491
phase_only,DS005620,gamma,sed2,1045,Pi,0.5789473684210527,0.263157894736842
phase_only,DS005620,gamma,sed2,1046,Pi,0.6228070175438598,0.3859649122807018
phase_only,DS005620,gamma,sed2,1054,Pi,0.2105263157894736,0.1403508771929824
phase_only,DS005620,gamma,sed2,1055,Pi,0.7543859649122808,0.8596491228070174
phase_only,DS005620,gamma,sed2,1057,Pi,0.2105263157894736,0.2105263157894736
phase_only,DS005620,gamma,sed2,1060,Pi,0.0175438596491228,0.0614035087719298
phase_only,DS005620,gamma,sed2,1061,Pi,0.631578947368421,0.5350877192982457
phase_only,DS005620,gamma,sed2,1062,Pi,0.3157894736842105,0.0789473684210526
phase_only,DS005620,gamma,sed2,1064,Pi,0.8771929824561404,0.5964912280701755
phase_only,DS005620,gamma,sed2,1067,Pi,0.0350877192982456,0.2368421052631578
phase_only,DS005620,gamma,sed2,1071,Pi,0.368421052631579,0.4210526315789473
phase_only,DS005620,gamma,sed2,1074,Pi,0.4122807017543859,0.6052631578947368
phase_only,DS005620,gamma,sed2,1010,R,0.0745322909894728,0.0850488613170723
phase_only,DS005620,gamma,sed2,1016,R,0.0687911238533134,0.0711163948640932
phase_only,DS005620,gamma,sed2,1017,R,0.0916758102811261,0.0939175205627846
phase_only,DS005620,gamma,sed2,1022,R,0.0940412413057565,0.0930404300453468
phase_only,DS005620,gamma,sed2,1024,R,0.0940716297719655,0.0902359163333019
phase_only,DS005620,gamma,sed2,1033,R,0.0727400306667312,0.0730241058030447
phase_only,DS005620,gamma,sed2,1045,R,0.1449716486081756,0.0960932821161366
phase_only,DS005620,gamma,sed2,1046,R,0.0834068599091065,0.1206728452667845
phase_only,DS005620,gamma,sed2,1054,R,0.096439118857839,0.091680274150899
phase_only,DS005620,gamma,sed2,1055,R,0.1115382105778027,0.1055099052402778
phase_only,DS005620,gamma,sed2,1057,R,0.0781968073998064,0.0873700234089342
phase_only,DS005620,gamma,sed2,1060,R,0.102769092141469,0.1004499142476374
phase_only,DS005620,gamma,sed2,1061,R,0.1079117363650894,0.0969082733002824
phase_only,DS005620,gamma,sed2,1062,R,0.1439940392018636,0.100263085737487
phase_only,DS005620,gamma,sed2,1064,R,0.1076910627120912,0.3724381033416428
phase_only,DS005620,gamma,sed2,1067,R,0.1015251248896983,0.1215721960251495
phase_only,DS005620,gamma,sed2,1071,R,0.1147721340237902,0.187494815102764
phase_only,DS005620,gamma,sed2,1074,R,0.0769079206935258,0.120334930224518
phase_only,DS005620,gamma,sed2,1010,D_eff,13.78730840796072,12.203328605050228
phase_only,DS005620,gamma,sed2,1016,D_eff,16.167634697696986,17.02192076776245
phase_only,DS005620,gamma,sed2,1017,D_eff,11.963239284255266,11.339250456257725
phase_only,DS005620,gamma,sed2,1022,D_eff,12.78136204626878,12.948167281406176
phase_only,DS005620,gamma,sed2,1024,D_eff,12.60471644843006,12.015390629334044
phase_only,DS005620,gamma,sed2,1033,D_eff,16.125281938782194,15.840361419509888
phase_only,DS005620,gamma,sed2,1045,D_eff,14.85313458494822,15.437448428856008
