replicate,cross_d_recovery_late_minus_chronic,longitudinal_mean_delta
336,0.9791520285850912,-0.037955314794089645
337,-0.031149660590373992,0.07546321471885742
338,-0.16703382077364862,-0.04852134917638507
339,-0.3028094632844147,-0.05647272171012848
340,0.6279340920012805,-0.05840812591163233
341,-0.8360518105524241,0.10154800133184633
342,0.1918571538151168,-0.00877850518278407
343,-0.22326218867212588,0.0687670460169169
344,0.8442981507613072,-0.15301741238498062
345,0.22671876493666454,-0.032947149648356995
346,0.305407972469994,0.017795848367515847
347,0.44334253300000015,0.0363213964263667
348,0.4844830087022273,-0.030986105954205534
349,-0.2677702367054599,0.01921449905300203
350,1.0412973712415323,0.07774850336136296
351,0.23120859609118993,0.060744895190711946
352,0.08662449096267583,-0.014717727356279884
353,0.3625937734608495,0.10538077299457252
354,0.07394867819195988,0.017741230486771443
355,-0.16182643186808982,-0.06174061169858087
356,0.9561273929140363,0.0027628369722084
357,0.8844275917866085,-0.09697182667312315
358,0.13231557024544688,-0.03281925328364768
359,-0.4271026646451224,0.016300315545339363
360,-0.07137631057014199,0.022925104054458485
361,0.4569662560115847,-0.10334484193353329
362,-0.046814551457189345,0.08994074308268157
363,-0.1999492798959966,-0.14120870179289746
364,0.4033484165304001,-0.021163963163012847
365,0.20203483551813542,0.02743262998087126
366,-0.7448935939909286,-0.05369588832251932
367,0.28599627821879015,0.09148967403194146
368,0.1256785298926222,0.0544749295653741
369,0.28213412698821305,0.15697876988108167
370,1.1352819965397367,0.0343325150164741
371,-0.5568131268482165,-0.03502806429363167
372,-0.8136200339586886,-0.04450849859427694
373,-0.08703929655242529,0.05041883822694353
374,-0.182010261404339,-0.04997210388278796
375,-0.46370844124475635,-0.013937869401329565
376,-0.35361120382371064,-0.0981660589114418
377,-0.5426096466114742,0.07067429775337654
378,-0.5652995948143602,0.03827182725244374
379,1.475904399739645,0.002818819541803183
380,-0.8971780277856024,0.08621704340718375
381,1.0547607057923105,-0.00021181520962812567
382,-1.264159143306065,-0.05780175746379731
383,-0.6019606206562029,0.003936757373459677
384,-0.6935326092074177,-0.0015242053519210084
385,0.17730090157714107,-0.04747931927300266
386,0.44550568462672124,0.073728530523281
387,-0.08965823260485438,0.06675863226539352
388,-0.3458434115701668,0.011738992835658055
389,-0.04796779761466813,0.020453121984179166
390,-0.419714896922923,0.00702382433141961
391,-0.5402896067804289,-0.13146086204128718
392,-0.5125576776718983,0.10746127455624649
393,-0.2309391843531834,-0.06374477637345316
394,-0.46380907608630534,-0.027510391685441227
