n_rows,n_subjects,positive_rate,roc_auc,average_precision,balanced_accuracy,accuracy,brier,log_loss,task_name,model,features,combo,gsr,atlas,n_permutations,auc_permutation_p,balanced_accuracy_permutation_p,log_loss_permutation_p
50,25,0.5,0.984,0.9862442028985507,0.96,0.96,0.0485200126457255,0.1708564008867899,prelor_vs_lor_task2,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withGSR_4S156,with_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
38,19,0.5,0.9556786703601108,0.9674855554678798,0.9210526315789472,0.9210526315789472,0.0784233306543368,0.2625570451364868,lor_vs_ror_task3,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max",withGSR_4S156,with_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
38,19,0.5,0.9667590027700832,0.9722588768572143,0.868421052631579,0.868421052631579,0.0792365488719548,0.2454036252619873,lor_vs_ror_task3,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc",withGSR_4S156,with_GSR,4S156,10000.0,9.999000099990002e-05,0.0002999700029997,9.999000099990002e-05
38,19,0.5,0.9667590027700832,0.9698891845104054,0.8947368421052632,0.8947368421052632,0.0748682728542454,0.2285945985476473,lor_vs_ror_task3,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean",withGSR_4S156,with_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
38,19,0.5,0.9778393351800554,0.9769061133225216,0.8947368421052632,0.8947368421052632,0.0664568728485686,0.208955332225533,lor_vs_ror_task3,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withGSR_4S156,with_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
38,19,0.5,0.969529085872576,0.969869782463476,0.8947368421052632,0.8947368421052632,0.0696321452635751,0.2147197243203686,lor_vs_ror_task3,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withGSR_4S156,with_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
147,26,0.3469387755102041,0.9675245098039216,0.945760822274165,0.889093137254902,0.891156462585034,0.0733100292577035,0.2344014244692642,responsive_vs_lor_all_phases,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max",withGSR_4S256,with_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
147,26,0.3469387755102041,0.9671160130718954,0.945126695107928,0.8936887254901961,0.891156462585034,0.0745513239235171,0.2340376838439796,responsive_vs_lor_all_phases,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc",withGSR_4S256,with_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
147,26,0.3469387755102041,0.9685457516339868,0.9458881035996534,0.8936887254901961,0.891156462585034,0.0744733497230135,0.2330809861172906,responsive_vs_lor_all_phases,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean",withGSR_4S256,with_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
147,26,0.3469387755102041,0.965890522875817,0.9407545171999004,0.8936887254901961,0.891156462585034,0.0759326975412241,0.2375100096864429,responsive_vs_lor_all_phases,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withGSR_4S256,with_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
