variant_id,variant_label,graph_type,control_id,strength_rel_error_mean,strength_rel_error_median,strength_rel_error_max,n_nodes,n_edges,backbone_nodes,backbone_fraction,alpha_S_max,external_mass_mean,internal_mass_mean,internal_minus_external_mean,raw_backbone_internal_weight,raw_backbone_external_weight,raw_backbone_internal_fraction_of_incident,raw_backbone_internal_fraction_of_total,requested_swaps,completed_swaps,attempts
brc_v3_200k_fibercount_conf50,200k FC 50%,degree_strength_preserving,0,2.4191535012965067e-17,0.0,3.2297397080004555e-16,798,4275,80,0.10025062656641603,0.7600125827579767,0.43716548073087386,0.5628345192691262,0.12566903853825234,18181.94089424445,28923.6182115111,0.5569807664329144,0.2941752225776326,51300.0,51300.0,58851.0
brc_v3_200k_fibercount_conf50,200k FC 50%,degree_strength_preserving,1,0.0006143989196058703,0.0,0.2747548783981961,798,4275,80,0.10025062656641603,1.0,0.4712351375038651,0.528764862496135,0.057529724992269896,17398.63948436366,30490.221031272682,0.5329853183033095,0.28150246310246435,51300.0,51300.0,58799.0
brc_v3_200k_fibercount_conf50,200k FC 50%,degree_strength_preserving,2,0.001127324121389528,7.275100826349272e-09,0.4142135623730949,798,4275,80,0.10025062656641603,0.9368132495965211,0.44806226635436097,0.5519377336456391,0.10387546729127824,17271.346595796793,30744.807390953458,0.5290858569155839,0.27944360714961414,51300.0,51300.0,58795.0
brc_v3_200k_fibercount_conf50,200k FC 50%,degree_strength_preserving,3,0.0003750470875397509,0.0,0.10296665093325509,798,4275,80,0.10025062656641603,0.730791579003673,0.43893132241441235,0.5610686775855875,0.12213735517117516,17402.586018952807,30482.32796209438,0.5331062153996649,0.28156869554087166,51300.0,51300.0,58735.0
brc_v3_200k_fibercount_conf50,200k FC 50%,degree_strength_preserving,4,0.0005115893364214437,0.0,0.22474487139158894,798,4275,80,0.10025062656641603,0.9467679689398987,0.474204427544845,0.5257955724551551,0.05159114491030999,17210.222735840878,30867.054528318244,0.527213409483925,0.2784539640682602,51300.0,51300.0,58805.0
brc_v3_200k_fibercount_conf50,200k FC 50%,degree_strength_preserving,5,0.0013880447270031278,7.375173789897003e-13,0.632993161855452,798,4275,80,0.10025062656641603,0.8719383147997951,0.451761910601546,0.548238089398454,0.0964761787969079,16914.706659624848,31458.086680796856,0.5181606481979794,0.27367468016896707,51300.0,51300.0,58767.0
brc_v3_200k_fibercount_conf50,200k FC 50%,degree_strength_preserving,6,2.446173438059512e-17,0.0,3.2297397080004555e-16,798,4275,80,0.10025062656641603,0.8629227044930659,0.4622433066836467,0.5377566933163533,0.07551338663270675,16963.589433138666,31360.321133722668,0.5196581101478435,0.2744628709462381,51300.0,51300.0,58780.0
brc_v3_200k_fibercount_conf50,200k FC 50%,degree_strength_preserving,7,5.136753047168357e-15,3.4980896632891394e-16,1.2290319786700917e-12,798,4275,80,0.10025062656641603,0.7640276865975281,0.46799339811106166,0.5320066018889383,0.06401320377787674,17003.561932977595,31280.37613404479,0.5208826171312303,0.27510960712833754,51300.0,51300.0,58705.0
brc_v3_200k_fibercount_conf50,200k FC 50%,degree_strength_preserving,8,5.2622702595307956e-08,4.680498877794148e-10,1.0660881893276297e-05,798,4275,80,0.10025062656641603,0.9999999999999999,0.42016496496152805,0.579835035038472,0.15967007007694387,17856.9199914267,29573.659970572502,0.5470241624863956,0.28891653776589993,51300.0,51300.0,58737.0
brc_v3_200k_fibercount_conf50,200k FC 50%,degree_strength_preserving,9,0.00036174828896595295,0.0,0.1547005383792514,798,4275,80,0.10025062656641603,0.9507841373977006,0.4486298722854228,0.5513701277145773,0.10274025542915441,16887.3581249223,31512.783750155402,0.5173228604226628,0.2732302778437648,51300.0,51300.0,58859.0
