task_name,model,permutation,n_rows,n_subjects,positive_rate,roc_auc,average_precision,balanced_accuracy,accuracy,brier,log_loss
prelor_vs_lor_task2,gcc_regime_plus_confounds,64,50,25,0.5,0.6816,0.6693983064864766,0.6799999999999999,0.68,0.23099413624027887,0.6826613394835792
prelor_vs_lor_task2,gcc_regime_plus_confounds,65,50,25,0.5,0.5408,0.5201935415525059,0.5,0.5,0.2702522911497416,0.7407469856703821
prelor_vs_lor_task2,gcc_regime_plus_confounds,66,50,25,0.5,0.2144,0.39629726818847494,0.33999999999999997,0.34,0.3220531601793376,0.8499167124001645
prelor_vs_lor_task2,gcc_regime_plus_confounds,67,50,25,0.5,0.5968,0.6030169380604163,0.5800000000000001,0.58,0.2551913596714332,0.7194287754700827
prelor_vs_lor_task2,gcc_regime_plus_confounds,68,50,25,0.5,0.5808,0.5801863464169881,0.6200000000000001,0.62,0.2561236481937157,0.7155284009045674
prelor_vs_lor_task2,gcc_regime_plus_confounds,69,50,25,0.5,0.6272,0.6253921960613449,0.68,0.68,0.25791655720835416,0.7361113935345156
prelor_vs_lor_task2,gcc_regime_plus_confounds,70,50,25,0.5,0.648,0.6195123338666212,0.6799999999999999,0.68,0.24489000293723667,0.7027921415487393
prelor_vs_lor_task2,gcc_regime_plus_confounds,71,50,25,0.5,0.47040000000000004,0.5016032742939427,0.48,0.48,0.28674400668498895,0.7818750539088458
prelor_vs_lor_task2,gcc_regime_plus_confounds,72,50,25,0.5,0.5344,0.5863354521974119,0.52,0.52,0.2728323239785213,0.7477811496781556
prelor_vs_lor_task2,gcc_regime_plus_confounds,73,50,25,0.5,0.5984,0.61212706700885,0.5800000000000001,0.58,0.26299280187302965,0.7410896001308673
prelor_vs_lor_task2,gcc_regime_plus_confounds,74,50,25,0.5,0.2816,0.3818111017214064,0.34,0.34,0.3197274138337795,0.8610764612626347
