fold_id,model,n_test,mae,rmse,r2,spearman_rho,pearson_r
30,F_random_backbone_control,12,2.3766344964877146,2.8109837223783924,-0.23275692979044926,0.11875421719907088,0.2107797808641046
31,A_clinical,12,2.8184675404800714,3.294164275169012,-0.07915651321765793,0.3036411501054561,0.41956364166950805
31,B_global_activity,12,2.918397220258417,3.3598416592163156,-0.12261683729335915,0.32150239422930643,0.4194664461607039
31,C_standard_eeg_fc,12,3.4560364637831866,4.019580892531669,-0.6067765189442125,0.17504019241373353,0.23257151970166573
31,D_p1_core_true_backbone,12,2.727080555196563,3.446078743180658,-0.18098484351175959,0.38223062425039767,0.4195670695375796
31,E_standard_plus_p1,12,3.0923011608113824,3.898005030507704,-0.5110496017764674,0.100022967093562,0.2409408518896765
31,F_random_backbone_control,12,2.7912175952836846,3.3393313684095167,-0.10895255129717119,0.27506315950729554,0.3731304106790355
32,A_clinical,12,3.5036065461197237,3.947546332862957,0.10384601628819157,0.31669817395203953,0.3480254176734131
32,B_global_activity,12,3.5547306163972556,4.346576993258733,-0.08648296501555985,0.06072823002109121,0.09138588065325426
32,C_standard_eeg_fc,12,3.3667891560480676,4.45726199250365,-0.1425217905965399,0.13931770416603279,0.03154457704282948
32,D_p1_core_true_backbone,12,3.209129726173156,4.111896771355231,0.027672488661123706,0.10359521591833207,0.23861601597436122
32,E_standard_plus_p1,12,3.3505277223801015,4.428959080582967,-0.12805819065370527,0.021433492948620427,-0.12307698820489292
32,F_random_backbone_control,12,3.6922225881803947,4.352430278317883,-0.0894111434413074,0.100022967093562,0.04948466948634317
33,A_clinical,12,3.3923368979832467,5.216978429918434,0.20727580762424624,0.7107683263808531,0.5463198971486519
33,B_global_activity,12,3.625050123616827,5.377519168062138,0.15773653195507664,0.8134004515606186,0.6472219194058271
33,C_standard_eeg_fc,12,4.390223397630005,5.881873953135063,-0.0076633359388940114,0.6267761055315589,0.5301117860860981
33,D_p1_core_true_backbone,12,4.2210668942006215,5.622693550937366,0.0791839970557483,0.566915466239219,0.5510572755348696
33,E_standard_plus_p1,12,4.3887643311778755,5.875647828741265,-0.0055311866230662865,0.563394252163199,0.534843056140086
33,F_random_backbone_control,12,4.396063558192709,5.885206922299294,-0.00880564616348134,0.581000322543299,0.5032040138308457
34,A_clinical,11,3.3463317476392764,4.564664279844973,0.1573611769683131,0.6129618055158417,0.5345303488152185
34,B_global_activity,11,3.268064775282817,4.608828131572366,0.14097696981580465,0.6728753654534804,0.6797367435204924
34,C_standard_eeg_fc,11,3.2028350064189124,4.710102753163948,0.10280975220960042,0.6636578946938436,0.5441176123177537
34,D_p1_core_true_backbone,11,3.1866172016369707,4.693351564587912,0.10918000736390499,0.6682666300736618,0.5189376815574693
34,E_standard_plus_p1,11,3.804560879623523,5.2616869528624015,-0.11962810841598026,0.5438307748185662,0.45479633202028985
34,F_random_backbone_control,11,3.821209645662739,5.215282008043843,-0.09996628918266204,0.2534804458900097,0.030319343415407714
35,A_clinical,12,3.4215919684151324,3.7797058958335,-0.9876419699476207,0.3915711639403797,0.4374877450366088
35,B_global_activity,12,3.7093415675570873,4.2118168670089995,-1.4680906186047311,0.31417005569223744,0.40330691364970556
35,C_standard_eeg_fc,12,3.5971113921173923,4.176707055421638,-1.4271139932951509,0.3507014575169162,0.4142660714413766
35,D_p1_core_true_backbone,12,3.21320908187032,4.057302703313201,-1.2903242054000152,0.27033237350262296,0.29697982940953727
35,E_standard_plus_p1,12,3.2397723333248343,4.082912506160604,-1.3193286306730667,0.25571981277275146,0.2801725298660327
35,F_random_backbone_control,12,3.586286814625178,4.183231130680577,-1.4347022876793183,0.21918841094807265,0.2881627436706109
36,A_clinical,12,2.3048120832252414,2.695917600176143,0.4093747597069485,0.5780723405683936,0.6873166683483831
36,B_global_activity,12,2.2731093317434543,2.7769692564559856,0.37332709470234426,0.5816187966455004,0.652353169107692
36,C_standard_eeg_fc,12,2.7834644258069665,3.5559664795881507,-0.027576328989533883,0.27662357401432336,0.2522619462339204
36,D_p1_core_true_backbone,12,3.328553211825286,4.368471630312915,-0.5508072186333095,0.25534483755168313,0.27605002130290424
36,E_standard_plus_p1,12,2.8412840292605637,3.651323547358459,-0.08342639121850337,0.16313697954690864,0.11852529052116226
