subject,condition,band,R_mean,D_mean,M_mean,Pi,Access_all,n_windows,n_rois,duration_s
7,baseline,alpha,0.20871872906464092,66.522906824414,0.00037370590169497216,0.8275862068965517,0.603448275862069,58.0,68.0,90.0
7,baseline,gamma,0.1495985500743332,66.49868070253929,0.00021936031087057834,0.8275862068965517,0.5689655172413793,58.0,68.0,90.0
7,moderate,alpha,0.20625262148045015,66.53214755399125,0.0005331072269424496,0.7643678160919539,0.4482758620689655,58.0,68.0,90.0
7,moderate,gamma,0.154242821922483,66.51414873217387,0.0002945413754749398,0.718390804597701,0.3620689655172414,58.0,68.0,90.0
8,baseline,alpha,0.20908530531204822,66.52353386973911,0.00037006497103115807,0.8275862068965516,0.5689655172413793,58.0,68.0,90.0
8,baseline,gamma,0.14929216496430772,66.508606540876,0.0002678997046523084,0.8275862068965517,0.5344827586206896,58.0,68.0,90.0
8,moderate,alpha,0.20635324463650564,66.52135378148466,0.0002954101596569207,0.8333333333333333,0.6206896551724138,58.0,68.0,90.0
8,moderate,gamma,0.15268779907529598,66.50823071693584,0.00019376171853775615,0.8103448275862069,0.5172413793103449,58.0,68.0,90.0
9,baseline,alpha,0.21467537896019456,66.53726283510906,0.0004580569224486717,0.8275862068965517,0.5862068965517241,58.0,68.0,90.0
9,baseline,gamma,0.15587148155472302,66.49765655056478,0.00021213587522507025,0.8275862068965516,0.5517241379310345,58.0,68.0,90.0
9,moderate,alpha,0.21061781369007548,66.52872252010779,0.0003251918768391109,0.8045977011494252,0.5172413793103449,58.0,68.0,90.0
9,moderate,gamma,0.15531192938563684,66.50696943283555,0.00020554751556519252,0.8448275862068965,0.5862068965517241,58.0,68.0,90.0
