subject,condition,acq,run,filename,band,n_channels,duration_s,R_mean,D_mean,M_mean,Pi,Access_all,n_windows,theta_power,alpha_power,beta_power,gamma_power,alpha_gamma_ratio,spectral_entropy
1064,awake,EC,,sub-1064_task-awake_acq-EC_eeg.vhdr,alpha,62,120.0,0.097102685447505,3.512676079415883,0.0024602498131317,0.8312236286919831,0.6075949367088608,237,0.2159002670629121,0.1597946723272331,0.1399038883161616,0.0591691368674516,2.7006422737329774,0.8152702085497883
1064,sed2,rest,1.0,sub-1064_task-sed2_acq-rest_run-1_eeg.vhdr,alpha,62,60.0,0.1262434345590037,2.6293192619453585,0.0039960950880929,0.6039886039886041,0.1196581196581196,117,0.1024095859798239,0.3856778170175188,0.1733327933671093,0.0102839493110675,37.50288972787453,0.7908644691430966
1064,sed2,rest,2.0,sub-1064_task-sed2_acq-rest_run-2_eeg.vhdr,alpha,62,60.0,0.1400505123505341,2.823135835846157,0.0091464089311796,0.6182336182336182,0.1794871794871795,117,0.1893383516055979,0.1883221407669564,0.1029320753893388,0.0182803878250948,10.301867912130977,0.7121513408523445
1064,sed2,rest,3.0,sub-1064_task-sed2_acq-rest_run-3_eeg.vhdr,alpha,62,60.0,0.1684670477355309,2.3194471985983025,0.0040940805606051,0.5185185185185186,0.0598290598290598,117,0.0866505996912046,0.1834405206047769,0.027555580088833,0.0032694236551415,56.10790766139625,0.5359614861878084
1064,sed,rest,1.0,sub-1064_task-sed_acq-rest_run-1_eeg.vhdr,alpha,62,120.0,0.1363337248654708,2.8588421375056896,0.0044627207739592,0.5907172995780591,0.1012658227848101,237,0.1159491821613932,0.4228323863765546,0.1321758338446836,0.0103779800625802,40.74322592509221,0.7828383394414612
1064,sed,rest,2.0,sub-1064_task-sed_acq-rest_run-2_eeg.vhdr,alpha,62,120.0,0.1285133464139872,2.900900864500432,0.0040148173903753,0.6357243319268636,0.2194092827004219,237,0.1140063495465384,0.4148324804673912,0.1843730807522413,0.009372587476499,44.260187644371015,0.8066168163676818
1064,sed,rest,3.0,sub-1064_task-sed_acq-rest_run-3_eeg.vhdr,alpha,62,120.0,0.1644950748359436,2.296555701944196,0.0045183774131711,0.4486638537271449,0.0168776371308016,237,0.1128209612230169,0.3560738911427291,0.0675856542712023,0.0060060505636513,59.28586303258971,0.6775487692512179
1067,awake,EC,,sub-1067_task-awake_acq-EC_eeg.vhdr,alpha,62,120.0,0.1375733407977876,3.0303619188378685,0.0094593167409512,0.8312236286919831,0.6033755274261603,237,0.0925982824955,0.06242800588849,0.0377163349311964,0.0112478485079913,5.550217522807666,0.4988533414245911
1067,sed2,rest,1.0,sub-1067_task-sed2_acq-rest_run-1_eeg.vhdr,alpha,62,60.0,0.1519041754547027,2.8483944164324715,0.0046205292938851,0.9430199430199432,0.8290598290598291,117,0.0806792038636983,0.195295969589389,0.0323128189801131,0.0036280576901645,53.82934512452695,0.5216374703618472
1067,sed2,rest,2.0,sub-1067_task-sed2_acq-rest_run-2_eeg.vhdr,alpha,62,60.0,0.1606206822977768,2.8461448395551647,0.0051507691292142,0.9002849002849003,0.7008547008547008,117,0.0718541761727099,0.1165298384972325,0.0210491071698416,0.0030417251543628,38.31044310225646,0.4750681453476647
1067,sed2,rest,3.0,sub-1067_task-sed2_acq-rest_run-3_eeg.vhdr,alpha,62,60.0,0.1746509707872339,2.64448371730936,0.0072147124708784,0.9259259259259262,0.7777777777777778,117,0.0802259769163315,0.0730448775371335,0.0141147667410907,0.0021898129504942,33.35667436220505,0.450827544861802
1067,sed,rest,1.0,sub-1067_task-sed_acq-rest_run-1_eeg.vhdr,alpha,62,120.0,0.1480317223179971,3.008385984962759,0.0062900847593477,0.8959212376933896,0.7046413502109705,237,0.0727114044565748,0.2690447681333938,0.1055920428174246,0.0084580100353111,31.80946428041058,0.6607014493723063
1067,sed,rest,2.0,sub-1067_task-sed_acq-rest_run-2_eeg.vhdr,alpha,62,120.0,0.1471037199184414,2.934503700112932,0.0053988071063067,0.942334739803094,0.8523206751054853,237,0.0636949687212812,0.3421428978530709,0.1358073336975387,0.0090901308304535,37.63894097862634,0.7031145731662417
1067,sed,rest,3.0,sub-1067_task-sed_acq-rest_run-3_eeg.vhdr,alpha,62,120.0,0.1576408886364202,2.7306617171291294,0.0040488628618828,0.969057665260197,0.9113924050632912,237,0.108831634498334,0.3551247688524221,0.0945054067285619,0.0077289837625226,45.94714903250984,0.7225689054143953
1068,awake,EC,,sub-1068_task-awake_acq-EC_eeg.vhdr,alpha,62,120.0,0.1039084903147479,2.973800457517672,0.0035585823655596,0.8312236286919831,0.5738396624472574,237,0.168596504921407,0.200729547540874,0.1519484628672897,0.049186165289301,4.081016406872761,0.7798024710668244
1068,sed2,rest,1.0,sub-1068_task-sed2_acq-rest_run-1_eeg.vhdr,alpha,62,60.0,0.2188895097829382,2.852304582435732,0.021476690020705,0.6324786324786322,0.1623931623931624,117,0.0810100417074523,0.0316227993206787,0.0241255908526095,0.0054995334938066,5.750087593891521,0.4339057604894297
1068,sed,rest,1.0,sub-1068_task-sed_acq-rest_run-1_eeg.vhdr,alpha,62,120.0,0.1662195138866365,2.159554233129546,0.0036592356445214,0.639943741209564,0.2025316455696202,237,0.0837965311692749,0.2317594912626098,0.0352124678760828,0.0041566445759025,55.75638883113562,0.5750228144685736
1068,sed,rest,2.0,sub-1068_task-sed_acq-rest_run-2_eeg.vhdr,alpha,62,120.0,0.4062738990857607,3.5642452591509564,0.0436864748238368,0.4275668073136427,0.0084388185654008,237,0.085898121075959,0.0281307742351677,0.012712116730039,0.0030885059270046,9.10821442176799,0.4501437293039546
1071,awake,EC,,sub-1071_task-awake_acq-EC_eeg.vhdr,alpha,62,120.0,0.1822378494671925,2.4757417891460234,0.003439236193208,0.8312236286919831,0.5907172995780591,237,0.140997043933324,0.5532415004659841,0.0866899667331437,0.0406315323151292,13.616062917872458,0.787454722303618
1071,sed2,rest,1.0,sub-1071_task-sed2_acq-rest_run-1_eeg.vhdr,alpha,62,60.0,0.1540594044816993,3.2978329672187687,0.0098225981297458,0.564102564102564,0.1367521367521367,117,0.118958117561987,0.2804013065419078,0.0655241414511332,0.0114443356753392,24.50131789839294,0.6890580814613907
1071,sed2,rest,2.0,sub-1071_task-sed2_acq-rest_run-2_eeg.vhdr,alpha,62,60.0,0.1692279879909373,2.919505988563325,0.0141884031193219,0.6096866096866098,0.0598290598290598,117,0.1777082415244733,0.2257674671339596,0.0675651836430562,0.0089500094885928,25.225388576010253,0.7164981967199763
1071,sed2,rest,3.0,sub-1071_task-sed2_acq-rest_run-3_eeg.vhdr,alpha,62,57.68,0.2512757748039317,2.931111416860884,0.0217424256393441,0.5714285714285714,0.0625,112,0.1010876377461418,0.1066069705776975,0.0266612683926624,0.0071231390639799,14.966290789101354,0.4700556914128829
1071,sed,rest,1.0,sub-1071_task-sed_acq-rest_run-1_eeg.vhdr,alpha,62,120.0,0.1517839506818973,2.6928806800382667,0.0045214951068271,0.7974683544303798,0.4725738396624472,237,0.0905510308174679,0.3524423941937377,0.0499144977169325,0.0072190138377636,48.82140442801804,0.6776501243960152
1071,sed,rest,2.0,sub-1071_task-sed_acq-rest_run-2_eeg.vhdr,alpha,62,120.0,0.1144767025754806,2.8282662207637697,0.0043643343012601,0.6526019690576653,0.1476793248945147,237,0.0972526613148446,0.4700059999762407,0.1421393658080597,0.014380473171739,32.68362551986311,0.7976462972521027
1071,sed,rest,3.0,sub-1071_task-sed_acq-rest_run-3_eeg.vhdr,alpha,62,120.0,0.2152029714991165,2.8650052637208123,0.0178791312498171,0.5780590717299579,0.1308016877637131,237,0.133248110038652,0.126128076660273,0.0459528545176854,0.0143755866330944,8.773769020398516,0.6105743336511545
1074,awake,EC,,sub-1074_task-awake_acq-EC_eeg.vhdr,alpha,62,120.0,0.0927497435177286,3.5871550450132808,0.0024867872316621,0.8312236286919831,0.5654008438818565,237,0.2235180045972597,0.2364471717800089,0.106880176155443,0.0440010549875344,5.373670514073381,0.8099347325210735
1074,sed2,rest,1.0,sub-1074_task-sed2_acq-rest_run-1_eeg.vhdr,alpha,62,60.0,0.1175863496211182,3.030950866149004,0.0034073778737164,0.7977207977207976,0.4957264957264957,117,0.0875735264425976,0.1136218222152096,0.0265694976981805,0.005240540350274,21.6813180701081,0.4774178563737624
1074,sed2,rest,2.0,sub-1074_task-sed2_acq-rest_run-2_eeg.vhdr,alpha,62,60.0,0.1240264361714434,3.2870707364710565,0.0075164123975458,0.794871794871795,0.5213675213675214,117,0.1537146556889169,0.2922104159514178,0.1506913685809879,0.0286830468681456,10.187565403511886,0.8168288249668452
1074,sed2,rest,3.0,sub-1074_task-sed2_acq-rest_run-3_eeg.vhdr,alpha,62,60.0,0.153004030601115,2.815538951358478,0.0052462281735698,0.6068376068376071,0.1025641025641025,117,0.1258182522225009,0.3115926632620323,0.0903659222752225,0.0111276014615555,28.001781364164028,0.7046659036522599
1074,sed,rest,1.0,sub-1074_task-sed_acq-rest_run-1_eeg.vhdr,alpha,62,120.0,0.1244149658130118,2.87185074937689,0.003384972058831,0.7426160337552743,0.4008438818565401,237,0.1016599357118102,0.1449977382500087,0.0218463224108265,0.0047318826255666,30.64271658724916,0.5076742938087463
1074,sed,rest,2.0,sub-1074_task-sed_acq-rest_run-2_eeg.vhdr,alpha,62,120.0,0.104762148091332,3.319184760877952,0.0028831129045593,0.89873417721519,0.7426160337552743,237,0.1264019992712724,0.2428439840327788,0.1350593729526672,0.0164897787116658,14.726940140576312,0.7444164283789619
1074,sed,rest,3.0,sub-1074_task-sed_acq-rest_run-3_eeg.vhdr,alpha,62,120.0,0.1533903924083247,2.749018319246259,0.0040527410725347,0.6343178621659636,0.1814345991561181,237,0.1082852160993904,0.3458469320298157,0.09184596036924,0.0081545963468723,42.411287729778586,0.7107004353683313
1010,awake,EC,,sub-1010_task-awake_acq-EC_eeg.vhdr,gamma,62,120.0,0.1318331577970301,4.689294658727498,0.0039979671778174,0.8312236286919831,0.6497890295358649,237,0.1389906327377315,0.140137204711999,0.0811139869996638,0.0284073115240494,4.9331385896348,0.6564014034030043
1010,sed2,rest,1.0,sub-1010_task-sed2_acq-rest_run-1_eeg.vhdr,gamma,62,60.0,0.0744572414465793,4.82001642263864,0.001511966762551,0.3019943019943021,0.0,117,0.0721919439295017,0.1728830564205397,0.0336727155669597,0.0054779361310914,31.55988902604005,0.540227163134532
1010,sed2,rest,2.0,sub-1010_task-sed2_acq-rest_run-2_eeg.vhdr,gamma,62,60.0,0.0854650757044521,4.616692795231052,0.001992071446936,0.3276353276353277,0.0,117,0.0506846022182232,0.2888636283665404,0.1753085793279181,0.0121056044064918,23.861974887248905,0.7265580088217897
1010,sed2,rest,3.0,sub-1010_task-sed2_acq-rest_run-3_eeg.vhdr,gamma,62,60.0,0.088945773504283,4.656830659618644,0.0021388847204754,0.3475783475783476,0.0,117,0.0588468133876227,0.433241071021846,0.1293259673182412,0.0073806388068172,58.69967116707824,0.7456156990927846
1010,sed,rest,1.0,sub-1010_task-sed_acq-rest_run-1_eeg.vhdr,gamma,62,120.0,0.0950812040344277,4.685632969731426,0.0077903050261468,0.3389592123769339,0.0,237,0.0806225902307177,0.1333161995037022,0.0285086041017063,0.0044949840344488,29.65888164503547,0.507835164161007
1010,sed,rest,2.0,sub-1010_task-sed_acq-rest_run-2_eeg.vhdr,gamma,62,120.0,0.1519447449643801,6.069846851295039,0.0059540014605573,0.4486638537271448,0.0210970464135021,237,0.0572910163756341,0.2193133876688459,0.2700600619106478,0.0543029719892345,4.038699533946058,0.8094693941720583
1010,sed,rest,3.0,sub-1010_task-sed_acq-rest_run-3_eeg.vhdr,gamma,62,120.0,0.089137714514113,4.651659401867046,0.0021340452682019,0.3459915611814346,0.0042194092827004,237,0.0588681250381223,0.4341007504503503,0.1276679754338711,0.0075222131795922,57.70917946999344,0.7517878525045297
1016,awake,EC,,sub-1016_task-awake_acq-EC_eeg.vhdr,gamma,62,120.0,0.0909870242632388,5.950996934058751,0.0021844540557596,0.8312236286919831,0.6160337552742616,237,0.1580004018753958,0.3008165102847974,0.1374932044923048,0.0251616392281445,11.955362190248866,0.806705572355973
1016,sed2,rest,1.0,sub-1016_task-sed2_acq-rest_run-1_eeg.vhdr,gamma,62,60.0,0.0689962750008009,5.979798551054712,0.0014234007248601,0.4615384615384614,0.1282051282051282,117,0.0489621870009129,0.0557097805573981,0.0090152340435582,0.0020465771126002,27.22095355566415,0.3784979314351464
1016,sed2,rest,2.0,sub-1016_task-sed2_acq-rest_run-2_eeg.vhdr,gamma,62,60.0,0.0713541888145346,6.222827750304576,0.0015118206219908,0.4957264957264956,0.1538461538461538,117,0.0574998918761495,0.0721205218374786,0.0123699482237595,0.0027501361156538,26.22434627898678,0.3960624240210297
1016,sed,rest,1.0,sub-1016_task-sed_acq-rest_run-1_eeg.vhdr,gamma,62,120.0,0.076827656039387,4.893770536246679,0.0017237803915437,0.5175808720112517,0.1308016877637131,237,0.0942764841294993,0.3377527900468345,0.0851846459011898,0.0121815570107841,27.726569741462438,0.7283654600828146
1016,sed,rest,2.0,sub-1016_task-sed_acq-rest_run-2_eeg.vhdr,gamma,62,120.0,0.0748843412463937,5.140197185519089,0.0016392891398898,0.5232067510548524,0.1940928270042194,237,0.0933948212431744,0.3379283097505491,0.0917053545931265,0.0119518627193131,28.274112383855663,0.7181811782160337
1016,sed,rest,3.0,sub-1016_task-sed_acq-rest_run-3_eeg.vhdr,gamma,62,120.0,0.0726268410300271,5.243178337075411,0.0015821438551347,0.5063291139240507,0.1645569620253164,237,0.0963730027153781,0.3099931092399561,0.0904476951744041,0.0118344737916701,26.194076278402463,0.7114404033705559
1017,awake,EC,,sub-1017_task-awake_acq-EC_eeg.vhdr,gamma,62,120.0,0.0825167674745352,5.187294768782879,0.0019485405833133,0.831223628691983,0.5780590717299579,237,0.1888651964327918,0.3421427557261063,0.1264458467300233,0.0212735068642732,16.083044412607777,0.823135983441787
1017,sed2,rest,1.0,sub-1017_task-sed2_acq-rest_run-1_eeg.vhdr,gamma,62,60.0,0.0923051204493692,4.287141219693765,0.0025467484713536,0.7065527065527065,0.3504273504273504,117,0.0604643000372542,0.4987027472798255,0.1202138493525251,0.007278434651086,68.51785735781763,0.7465708574522993
1017,sed2,rest,2.0,sub-1017_task-sed2_acq-rest_run-2_eeg.vhdr,gamma,62,60.0,0.0939666095489166,4.042599631571917,0.0022816479120682,0.6723646723646721,0.1965811965811965,117,0.0415860986400227,0.3831628608423255,0.2669059367622599,0.0176618775401835,21.694344780099097,0.8055806131031309
1017,sed,rest,1.0,sub-1017_task-sed_acq-rest_run-1_eeg.vhdr,gamma,62,120.0,0.0950371714107106,5.035205042894393,0.0027611356914913,0.6638537271448665,0.2616033755274262,237,0.0510648465351932,0.4284510442997427,0.1738332304801584,0.0167302145241368,25.609417240645843,0.7725715526279191
1017,sed,rest,2.0,sub-1017_task-sed_acq-rest_run-2_eeg.vhdr,gamma,62,120.0,0.092197698295152,4.2067941407892775,0.0023560276979761,0.6849507735583685,0.2278481012658227,237,0.0419143931881882,0.3791086183619948,0.2812171402542229,0.0189960891399755,19.95719305950392,0.8128521709230826
1022,awake,EC,,sub-1022_task-awake_acq-EC_eeg.vhdr,gamma,62,120.0,0.0921758864991415,5.35344639449844,0.0022064669003943,0.8312236286919831,0.6160337552742616,237,0.1203722757228148,0.3565636421765245,0.1780822370422974,0.0242890970316584,14.67998755561391,0.8335264617865384
