node_id,dn_name,dn_fsname,dn_region,dn_hemisphere
283,rh.superiorparietal_8,superiorparietal_8,cortical,right
284,rh.inferiorparietal_13,inferiorparietal_13,cortical,right
285,rh.inferiorparietal_21,inferiorparietal_21,cortical,right
286,rh.inferiorparietal_11,inferiorparietal_11,cortical,right
287,rh.inferiorparietal_3,inferiorparietal_3,cortical,right
288,rh.inferiorparietal_4,inferiorparietal_4,cortical,right
289,rh.inferiorparietal_25,inferiorparietal_25,cortical,right
290,rh.inferiorparietal_12,inferiorparietal_12,cortical,right
291,rh.inferiorparietal_8,inferiorparietal_8,cortical,right
292,rh.inferiorparietal_16,inferiorparietal_16,cortical,right
293,rh.inferiorparietal_26,inferiorparietal_26,cortical,right
294,rh.inferiorparietal_2,inferiorparietal_2,cortical,right
295,rh.inferiorparietal_17,inferiorparietal_17,cortical,right
296,rh.inferiorparietal_5,inferiorparietal_5,cortical,right
297,rh.inferiorparietal_1,inferiorparietal_1,cortical,right
298,rh.inferiorparietal_19,inferiorparietal_19,cortical,right
299,rh.inferiorparietal_14,inferiorparietal_14,cortical,right
300,rh.inferiorparietal_9,inferiorparietal_9,cortical,right
301,rh.inferiorparietal_18,inferiorparietal_18,cortical,right
302,rh.inferiorparietal_10,inferiorparietal_10,cortical,right
303,rh.inferiorparietal_20,inferiorparietal_20,cortical,right
304,rh.inferiorparietal_22,inferiorparietal_22,cortical,right
305,rh.inferiorparietal_23,inferiorparietal_23,cortical,right
306,rh.inferiorparietal_6,inferiorparietal_6,cortical,right
307,rh.inferiorparietal_7,inferiorparietal_7,cortical,right
308,rh.inferiorparietal_15,inferiorparietal_15,cortical,right
309,rh.inferiorparietal_24,inferiorparietal_24,cortical,right
310,rh.precuneus_2,precuneus_2,cortical,right
311,rh.precuneus_1,precuneus_1,cortical,right
312,rh.precuneus_3,precuneus_3,cortical,right
313,rh.precuneus_6,precuneus_6,cortical,right
314,rh.precuneus_19,precuneus_19,cortical,right
315,rh.precuneus_10,precuneus_10,cortical,right
316,rh.precuneus_16,precuneus_16,cortical,right
317,rh.precuneus_12,precuneus_12,cortical,right
318,rh.precuneus_22,precuneus_22,cortical,right
319,rh.precuneus_9,precuneus_9,cortical,right
320,rh.precuneus_21,precuneus_21,cortical,right
321,rh.precuneus_7,precuneus_7,cortical,right
322,rh.precuneus_15,precuneus_15,cortical,right
323,rh.precuneus_14,precuneus_14,cortical,right
324,rh.precuneus_11,precuneus_11,cortical,right
325,rh.precuneus_8,precuneus_8,cortical,right
326,rh.precuneus_20,precuneus_20,cortical,right
327,rh.precuneus_4,precuneus_4,cortical,right
328,rh.precuneus_5,precuneus_5,cortical,right
329,rh.precuneus_23,precuneus_23,cortical,right
330,rh.precuneus_18,precuneus_18,cortical,right
331,rh.precuneus_13,precuneus_13,cortical,right
332,rh.precuneus_17,precuneus_17,cortical,right
333,rh.cuneus_1,cuneus_1,cortical,right
334,rh.cuneus_2,cuneus_2,cortical,right
335,rh.cuneus_8,cuneus_8,cortical,right
336,rh.cuneus_3,cuneus_3,cortical,right
337,rh.cuneus_7,cuneus_7,cortical,right
338,rh.cuneus_6,cuneus_6,cortical,right
339,rh.cuneus_5,cuneus_5,cortical,right
340,rh.cuneus_4,cuneus_4,cortical,right
341,rh.pericalcarine_1,pericalcarine_1,cortical,right
342,rh.pericalcarine_5,pericalcarine_5,cortical,right
343,rh.pericalcarine_3,pericalcarine_3,cortical,right
344,rh.pericalcarine_7,pericalcarine_7,cortical,right
345,rh.pericalcarine_2,pericalcarine_2,cortical,right
346,rh.pericalcarine_6,pericalcarine_6,cortical,right
347,rh.pericalcarine_4,pericalcarine_4,cortical,right
348,rh.pericalcarine_8,pericalcarine_8,cortical,right
349,rh.lateraloccipital_18,lateraloccipital_18,cortical,right
350,rh.lateraloccipital_13,lateraloccipital_13,cortical,right
351,rh.lateraloccipital_12,lateraloccipital_12,cortical,right
352,rh.lateraloccipital_20,lateraloccipital_20,cortical,right
353,rh.lateraloccipital_1,lateraloccipital_1,cortical,right
354,rh.lateraloccipital_9,lateraloccipital_9,cortical,right
355,rh.lateraloccipital_15,lateraloccipital_15,cortical,right
356,rh.lateraloccipital_16,lateraloccipital_16,cortical,right
357,rh.lateraloccipital_23,lateraloccipital_23,cortical,right
358,rh.lateraloccipital_7,lateraloccipital_7,cortical,right
359,rh.lateraloccipital_3,lateraloccipital_3,cortical,right
360,rh.lateraloccipital_17,lateraloccipital_17,cortical,right
361,rh.lateraloccipital_14,lateraloccipital_14,cortical,right
362,rh.lateraloccipital_21,lateraloccipital_21,cortical,right
363,rh.lateraloccipital_10,lateraloccipital_10,cortical,right
364,rh.lateraloccipital_8,lateraloccipital_8,cortical,right
365,rh.lateraloccipital_4,lateraloccipital_4,cortical,right
366,rh.lateraloccipital_19,lateraloccipital_19,cortical,right
367,rh.lateraloccipital_6,lateraloccipital_6,cortical,right
368,rh.lateraloccipital_2,lateraloccipital_2,cortical,right
369,rh.lateraloccipital_5,lateraloccipital_5,cortical,right
370,rh.lateraloccipital_22,lateraloccipital_22,cortical,right
371,rh.lateraloccipital_11,lateraloccipital_11,cortical,right
372,rh.lingual_16,lingual_16,cortical,right
373,rh.lingual_8,lingual_8,cortical,right
374,rh.lingual_14,lingual_14,cortical,right
375,rh.lingual_4,lingual_4,cortical,right
376,rh.lingual_10,lingual_10,cortical,right
377,rh.lingual_13,lingual_13,cortical,right
378,rh.lingual_11,lingual_11,cortical,right
379,rh.lingual_9,lingual_9,cortical,right
380,rh.lingual_12,lingual_12,cortical,right
381,rh.lingual_3,lingual_3,cortical,right
382,rh.lingual_2,lingual_2,cortical,right
383,rh.lingual_7,lingual_7,cortical,right
384,rh.lingual_1,lingual_1,cortical,right
385,rh.lingual_6,lingual_6,cortical,right
386,rh.lingual_15,lingual_15,cortical,right
387,rh.lingual_17,lingual_17,cortical,right
388,rh.lingual_5,lingual_5,cortical,right
389,rh.fusiform_9,fusiform_9,cortical,right
390,rh.fusiform_2,fusiform_2,cortical,right
391,rh.fusiform_5,fusiform_5,cortical,right
392,rh.fusiform_12,fusiform_12,cortical,right
393,rh.fusiform_14,fusiform_14,cortical,right
394,rh.fusiform_8,fusiform_8,cortical,right
395,rh.fusiform_6,fusiform_6,cortical,right
396,rh.fusiform_17,fusiform_17,cortical,right
397,rh.fusiform_15,fusiform_15,cortical,right
398,rh.fusiform_11,fusiform_11,cortical,right
399,rh.fusiform_13,fusiform_13,cortical,right
400,rh.fusiform_7,fusiform_7,cortical,right
401,rh.fusiform_4,fusiform_4,cortical,right
402,rh.fusiform_3,fusiform_3,cortical,right
403,rh.fusiform_1,fusiform_1,cortical,right
404,rh.fusiform_10,fusiform_10,cortical,right
405,rh.fusiform_16,fusiform_16,cortical,right
406,rh.parahippocampal_3,parahippocampal_3,cortical,right
407,rh.parahippocampal_2,parahippocampal_2,cortical,right
408,rh.parahippocampal_1,parahippocampal_1,cortical,right
409,rh.parahippocampal_6,parahippocampal_6,cortical,right
410,rh.parahippocampal_5,parahippocampal_5,cortical,right
411,rh.parahippocampal_4,parahippocampal_4,cortical,right
412,rh.entorhinal_1,entorhinal_1,cortical,right
413,rh.entorhinal_2,entorhinal_2,cortical,right
414,rh.temporalpole_1,temporalpole_1,cortical,right
415,rh.temporalpole_2,temporalpole_2,cortical,right
416,rh.temporalpole_3,temporalpole_3,cortical,right
417,rh.inferiortemporal_16,inferiortemporal_16,cortical,right
418,rh.inferiortemporal_3,inferiortemporal_3,cortical,right
419,rh.inferiortemporal_5,inferiortemporal_5,cortical,right
420,rh.inferiortemporal_9,inferiortemporal_9,cortical,right
421,rh.inferiortemporal_11,inferiortemporal_11,cortical,right
422,rh.inferiortemporal_8,inferiortemporal_8,cortical,right
423,rh.inferiortemporal_1,inferiortemporal_1,cortical,right
424,rh.inferiortemporal_4,inferiortemporal_4,cortical,right
425,rh.inferiortemporal_7,inferiortemporal_7,cortical,right
426,rh.inferiortemporal_2,inferiortemporal_2,cortical,right
427,rh.inferiortemporal_6,inferiortemporal_6,cortical,right
428,rh.inferiortemporal_10,inferiortemporal_10,cortical,right
429,rh.inferiortemporal_12,inferiortemporal_12,cortical,right
430,rh.inferiortemporal_15,inferiortemporal_15,cortical,right
431,rh.inferiortemporal_14,inferiortemporal_14,cortical,right
432,rh.inferiortemporal_13,inferiortemporal_13,cortical,right
433,rh.middletemporal_12,middletemporal_12,cortical,right
434,rh.middletemporal_16,middletemporal_16,cortical,right
435,rh.middletemporal_13,middletemporal_13,cortical,right
436,rh.middletemporal_15,middletemporal_15,cortical,right
437,rh.middletemporal_6,middletemporal_6,cortical,right
438,rh.middletemporal_11,middletemporal_11,cortical,right
439,rh.middletemporal_10,middletemporal_10,cortical,right
440,rh.middletemporal_4,middletemporal_4,cortical,right
441,rh.middletemporal_14,middletemporal_14,cortical,right
442,rh.middletemporal_7,middletemporal_7,cortical,right
443,rh.middletemporal_17,middletemporal_17,cortical,right
444,rh.middletemporal_8,middletemporal_8,cortical,right
445,rh.middletemporal_9,middletemporal_9,cortical,right
446,rh.middletemporal_1,middletemporal_1,cortical,right
447,rh.middletemporal_3,middletemporal_3,cortical,right
448,rh.middletemporal_5,middletemporal_5,cortical,right
449,rh.middletemporal_19,middletemporal_19,cortical,right
450,rh.middletemporal_2,middletemporal_2,cortical,right
451,rh.middletemporal_18,middletemporal_18,cortical,right
452,rh.bankssts_3,bankssts_3,cortical,right
453,rh.bankssts_6,bankssts_6,cortical,right
454,rh.bankssts_2,bankssts_2,cortical,right
455,rh.bankssts_1,bankssts_1,cortical,right
456,rh.bankssts_4,bankssts_4,cortical,right
457,rh.bankssts_5,bankssts_5,cortical,right
458,rh.superiortemporal_9,superiortemporal_9,cortical,right
459,rh.superiortemporal_25,superiortemporal_25,cortical,right
460,rh.superiortemporal_14,superiortemporal_14,cortical,right
461,rh.superiortemporal_6,superiortemporal_6,cortical,right
462,rh.superiortemporal_7,superiortemporal_7,cortical,right
463,rh.superiortemporal_16,superiortemporal_16,cortical,right
464,rh.superiortemporal_19,superiortemporal_19,cortical,right
465,rh.superiortemporal_15,superiortemporal_15,cortical,right
466,rh.superiortemporal_12,superiortemporal_12,cortical,right
467,rh.superiortemporal_21,superiortemporal_21,cortical,right
468,rh.superiortemporal_24,superiortemporal_24,cortical,right
469,rh.superiortemporal_2,superiortemporal_2,cortical,right
470,rh.superiortemporal_22,superiortemporal_22,cortical,right
471,rh.superiortemporal_13,superiortemporal_13,cortical,right
